         18034643 function calls (18032453 primitive calls) in 20.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  798/793    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x104118a48}
        1    0.001    0.001    0.001    0.001 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/_type_aliases.py:1(<module>)
      268    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/functools.py:35(update_wrapper)
    85/30    0.001    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1280(_determine_new_args)
        1    0.001    0.001    0.045    0.045 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1(<module>)
        1    0.001    0.001    0.135    0.135 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/__init__.py:1(<module>)
     28/8    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:37(_compile)
   167/22    0.001    0.000    0.125    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      312    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
       92    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.005    0.005 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/numeric.py:1(<module>)
      312    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      292    0.001    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1159(__getattr__)
     1534    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      433    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    85/30    0.001    0.000    0.013    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1248(__getitem__)
       92    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       98    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      312    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       50    0.001    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:732(Literal)
       66    0.001    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:673(Union)
     98/2    0.001    0.000    0.138    0.069 <frozen importlib._bootstrap>:911(_load_unlocked)
      184    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        8    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      264    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _io.open}
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       50    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:347(_flatten_literal_params)
  235/127    0.000    0.000    0.027    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:378(inner)
        1    0.000    0.000    0.016    0.016 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/multiarray.py:1(<module>)
      624    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
  583/495    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.001    0.001 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/getlimits.py:168(_register_known_types)
      406    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     92/2    0.000    0.000    0.137    0.068 {built-in method builtins.exec}
        1    0.000    0.000    0.013    0.013 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_typing/_array_like.py:1(<module>)
     1719    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ctypes/__init__.py:1(<module>)
       76    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1587(__hash__)
